s,x,y,psi,kappa
0.0,1.6760749147089193e-15,-3.160420110158565e-15,2.155512561084016,8.471352295445067e-05
11.560829760334085,-6.381569871946275,9.639935192953246,2.1555679364909817,7.19514653260907e-06
23.12165952066817,-12.761282743775652,19.281099409113075,2.155199364755232,-0.00011591027416975188
34.682489281002255,-19.12510522295666,28.93276653288257,2.153675030755333,0.000435659412293669
46.24331904133634,-25.51042849869727,38.57020572631786,2.156545118324406,-3.5031046600674305e-05
57.80414880167043,-31.90281277980552,48.202972968966385,2.1566530569354736,-4.157745526525884e-05
69.36497856200451,-38.29288976135628,57.83727082627702,2.156173993292541,-6.668940535683169e-05
80.9258083223386,-44.67671226626714,67.47571424019245,2.1554921178085498,-2.6876052063768747e-05
92.48663808267268,-51.05787735417879,77.11591739730206,2.1556980107090276,5.3612671731305787e-05
104.04746784300677,-57.44391810240086,86.75289132704724,2.156309023891605,3.8508658763644645e-05
115.60829760334086,-63.83399332445115,96.38719064388077,2.1564782151656,-7.5966996389940146e-06
127.16912736367495,-70.2234313043582,106.02191258752771,2.156217749419924,-3.330086463687273e-05
138.72995712400902,-76.60938387642578,115.65894506579444,2.155801193432263,-3.496419267479759e-05
150.2907868843431,-82.99166112353434,125.29841193575633,2.1555010162010206,-1.2790553899918473e-05
161.8516166446772,-89.37270128175405,134.938697824514,2.155582401449558,2.851394384337105e-05
173.41244640501128,-95.75671080162914,144.57701748728914,2.156071329649092,4.5661912114474684e-05
184.97327616534537,-102.14523227515127,154.21234719093005,2.1564052198529335,5.918114916787185e-06
196.53410592567946,-108.53446090354058,163.84720795790966,2.1562264080928766,-3.0189409465677177e-05
208.09493568601354,-114.92067245736095,173.4840687988637,2.1558493114020254,-3.060486691232097e-05
219.65576544634763,-121.3036307078406,183.1230847631349,2.1555840049515003,-1.3970619451528983e-05
231.21659520668172,-127.68504190111959,192.76312502153155,2.155530532791264,3.892159646478808e-06
242.7774249670158,-134.06680098336477,202.402934943149,2.1556385502728443,1.2678883580286053e-05
254.3382547273499,-140.449837711948,212.0418989759737,2.1557678015229427,7.101636125472837e-06
265.899084487684,-146.83350761155506,221.6804435968841,2.1557369019320562,-1.5672877403044765e-05
277.45991424801804,-153.2152230445176,231.32028249996694,2.1553187925184902,-6.107098962212747e-05
289.02074400835215,-159.58984089478292,240.96481625092161,2.1542042566535726,-0.00013790807565164693
300.5815737686862,-165.9486898714724,250.6197539687788,2.1519724173847417,-0.0002550582435386793
312.1424035290203,-172.27845581303234,260.2937794106666,2.148050833891923,-0.00044592509235147885
323.7032332893544,-178.55470006600902,270.0026007129508,2.1400875332189293,-0.0011131892187429477
335.2640630496885,-184.6794422418635,279.8073728847751,2.112232837684352,-0.004049759123891897
346.82489281002256,-190.38413248582486,289.86144190787905,2.0606199543944244,-0.004851687205939159
358.3857225703567,-195.46709280725977,300.242337485062,1.9828965357635269,-0.009337744320330424
369.94655233069074,-199.36495927240662,311.1166750640365,1.8318443511170819,-0.01710758999055617
