lap_distance,x_position,y_position
0.000000000000000000e+00,-1.493727589493586265e+03,-1.604049416788789586e+03
9.819963992798559360e-01,-1.501403250440241436e+03,-1.604521210783007064e+03
1.963992798559711872e+00,-1.509078911386896607e+03,-1.604993004777224314e+03
2.945989197839567808e+00,-1.516754572333551550e+03,-1.605464798771441792e+03
3.927985597119423744e+00,-1.524430233280206721e+03,-1.605936592765659043e+03
4.909981996399279680e+00,-1.532105894226861892e+03,-1.606408386759876521e+03
5.891978395679135616e+00,-1.539781555173517063e+03,-1.606880180754093772e+03
6.873974794958991552e+00,-1.547457216120172234e+03,-1.607351974748311250e+03
7.855971194238847488e+00,-1.555132877066827405e+03,-1.607823768742528500e+03
8.837967593518703424e+00,-1.566592089893954835e+03,-1.608506010266630483e+03
9.819963992798559360e+00,-1.580307270820936083e+03,-1.609313732537160831e+03
1.080196039207841530e+01,-1.594022451747917557e+03,-1.610121454807691180e+03
1.178395679135827123e+01,-1.607737632674899032e+03,-1.610929177078221301e+03
1.276595319063812717e+01,-1.621452813601880280e+03,-1.611736899348751649e+03
1.374794958991798310e+01,-1.635167994528861755e+03,-1.612544621619281997e+03
1.472994598919783904e+01,-1.648883175455843002e+03,-1.613352343889812346e+03
1.571194238847769498e+01,-1.662598356382824477e+03,-1.614160066160342694e+03
1.669393878775755269e+01,-1.678830030486128862e+03,-1.615102900647160595e+03
1.767593518703740685e+01,-1.702494525494334539e+03,-1.616444808302615456e+03
1.865793158631726101e+01,-1.726159020502539988e+03,-1.617786715958070317e+03
1.963992798559711872e+01,-1.749823515510745892e+03,-1.619128623613525178e+03
2.062192438487697643e+01,-1.773488010518951569e+03,-1.620470531268980039e+03
2.160392078415683059e+01,-1.797152505527157246e+03,-1.621812438924434900e+03
2.258591718343668475e+01,-1.820817000535362695e+03,-1.623154346579889761e+03
2.356791358271654246e+01,-1.844481495543568371e+03,-1.624496254235344622e+03
2.454990998199640018e+01,-1.868145990551774048e+03,-1.625838161890799483e+03
2.553190638127625434e+01,-1.871990579715101376e+03,-1.626055716563553688e+03
2.651390278055610850e+01,-1.873117010362559313e+03,-1.626119074255823080e+03
2.749589917983596621e+01,-1.874243441010017477e+03,-1.626182431948092699e+03
2.847789557911582392e+01,-1.875369871657475414e+03,-1.626245789640362318e+03
2.945989197839567808e+01,-1.876496302304933579e+03,-1.626309147332631937e+03
3.044188837767553224e+01,-1.877622732952391516e+03,-1.626372505024901329e+03
3.142388477695538995e+01,-1.878749163599849680e+03,-1.626435862717170949e+03
3.240588117623524766e+01,-1.879875594247307617e+03,-1.626499220409440568e+03
3.338787757551510538e+01,-1.888175866913720029e+03,-1.626960877490845860e+03
3.436987397479495598e+01,-1.903483700492687149e+03,-1.627811601856340758e+03
3.535187037407481370e+01,-1.918791534071654496e+03,-1.628662326221835656e+03
3.633386677335467141e+01,-1.934099367650621843e+03,-1.629513050587330554e+03
3.731586317263452202e+01,-1.949407201229588964e+03,-1.630363774952825452e+03
3.829785957191437973e+01,-1.964715034808556084e+03,-1.631214499318320350e+03
3.927985597119423744e+01,-1.980022868387523431e+03,-1.632065223683815248e+03
4.026185237047409515e+01,-1.995330701966490778e+03,-1.632915948049310146e+03
4.124384876975395287e+01,-2.009950941844894487e+03,-1.633727006762976316e+03
4.222584516903380347e+01,-2.020062655939856313e+03,-1.634277979303891925e+03
4.320784156831366118e+01,-2.030174370034818367e+03,-1.634828951844807307e+03
4.418983796759351890e+01,-2.040286084129780420e+03,-1.635379924385722916e+03
4.517183436687336950e+01,-2.050397798224742019e+03,-1.635930896926638525e+03
4.615383076615322722e+01,-2.060509512319704299e+03,-1.636481869467553906e+03
4.713582716543308493e+01,-2.070621226414666125e+03,-1.637032842008469515e+03
4.811782356471294264e+01,-2.080732940509628406e+03,-1.637583814549384897e+03
4.909981996399280035e+01,-2.090844654604590232e+03,-1.638134787090300506e+03
5.008181636327265096e+01,-2.096157736146118168e+03,-1.638424664125384652e+03
5.106381276255250867e+01,-2.099945424558077320e+03,-1.638631543913582163e+03
5.204580916183236639e+01,-2.103733112970036927e+03,-1.638838423701779448e+03
5.302780556111221699e+01,-2.107520801381996080e+03,-1.639045303489976732e+03
5.400980196039207470e+01,-2.111308489793955687e+03,-1.639252183278174243e+03
5.499179835967193242e+01,-2.115096178205915294e+03,-1.639459063066371527e+03
5.597379475895179013e+01,-2.118883866617874446e+03,-1.639665942854569039e+03
5.695579115823164784e+01,-2.122671555029834053e+03,-1.639872822642766323e+03
5.793778755751149845e+01,-2.131625325065012930e+03,-1.640368073614723016e+03
5.891978395679135616e+01,-2.148822364472894606e+03,-1.641323464692938614e+03
5.990178035607121387e+01,-2.166019403880776281e+03,-1.642278855771154213e+03
6.088377675535106448e+01,-2.183216443288657501e+03,-1.643234246849369811e+03
6.186577315463092219e+01,-2.200413482696539177e+03,-1.644189637927585409e+03
6.284776955391077990e+01,-2.217610522104420852e+03,-1.645145029005801234e+03
6.382976595319063762e+01,-2.234807561512302527e+03,-1.646100420084016832e+03
6.481176235247049533e+01,-2.252004600920183748e+03,-1.647055811162232430e+03
6.579375875175034594e+01,-2.269073343254516658e+03,-1.648004263720515610e+03
6.677575515103021075e+01,-2.275328475104030986e+03,-1.648367898170204171e+03
6.775775155031006136e+01,-2.281583606953545313e+03,-1.648731532619892732e+03
6.873974794958991197e+01,-2.287838738803059641e+03,-1.649095167069581294e+03
6.972174434886977679e+01,-2.294093870652573969e+03,-1.649458801519269855e+03
7.070374074814962739e+01,-2.300349002502087842e+03,-1.649822435968958416e+03
7.168573714742947800e+01,-2.306604134351602170e+03,-1.650186070418646977e+03
7.266773354670934282e+01,-2.312859266201116498e+03,-1.650549704868335539e+03
7.364972994598919342e+01,-2.319114398050630825e+03,-1.650913339318024100e+03
7.463172634526904403e+01,-2.335040130863575996e+03,-1.651845948166055223e+03
7.561372274454890885e+01,-2.356448409104609254e+03,-1.653101125176926416e+03
7.659571914382875946e+01,-2.377856687345642513e+03,-1.654356302187797837e+03
7.757771554310862427e+01,-2.399264965586675771e+03,-1.655611479198669031e+03
7.855971194238847488e+01,-2.420673243827708575e+03,-1.656866656209540224e+03
7.954170834166832549e+01,-2.442081522068741378e+03,-1.658121833220411418e+03
8.052370474094819031e+01,-2.463489800309774637e+03,-1.659377010231282839e+03
8.150570114022804091e+01,-2.484898078550807895e+03,-1.660632187242154032e+03
8.248769753950790573e+01,-2.501473640682390851e+03,-1.661600839007523291e+03
8.346969393878775634e+01,-2.504621592864297781e+03,-1.661773385818617726e+03
8.445169033806760694e+01,-2.507769545046205167e+03,-1.661945932629712388e+03
8.543368673734747176e+01,-2.510917497228112552e+03,-1.662118479440806823e+03
8.641568313662732237e+01,-2.514065449410019482e+03,-1.662291026251901258e+03
8.739767953590717298e+01,-2.517213401591926868e+03,-1.662463573062995920e+03
8.837967593518703779e+01,-2.520361353773833798e+03,-1.662636119874090355e+03
8.936167233446688840e+01,-2.523509305955741183e+03,-1.662808666685185017e+03
9.034366873374673901e+01,-2.526657258137648114e+03,-1.662981213496279452e+03
9.132566513302660383e+01,-2.546049409881976317e+03,-1.663744948989797876e+03
9.230766153230645443e+01,-2.567426285257050949e+03,-1.664580916183236695e+03
9.328965793158631925e+01,-2.588803160632126492e+03,-1.665416883376675287e+03
9.427165433086616986e+01,-2.610180036007201124e+03,-1.666252850570114106e+03
9.525365073014602046e+01,-2.631556911382276212e+03,-1.667088817763552697e+03
9.623564712942588528e+01,-2.652933786757351299e+03,-1.667924784956991289e+03
9.721764352870573589e+01,-2.674310662132426387e+03,-1.668760752150430108e+03
9.819963992798560071e+01,-2.695687537507501474e+03,-1.669596719343868699e+03
9.918163632726545131e+01,-2.707375399375328470e+03,-1.670042331782216252e+03
1.001636327265453019e+02,-2.710032724382030665e+03,-1.670124118429410828e+03
1.011456291258251667e+02,-2.712690049388732859e+03,-1.670205905076605404e+03
1.021276255251050173e+02,-2.715347374395435054e+03,-1.670287691723799753e+03
1.031096219243848680e+02,-2.718004699402137248e+03,-1.670369478370994329e+03
1.040916183236647328e+02,-2.720662024408839443e+03,-1.670451265018188906e+03
1.050736147229445834e+02,-2.723319349415541637e+03,-1.670533051665383482e+03
1.060556111222244340e+02,-2.725976674422243832e+03,-1.670614838312578058e+03
1.070376075215042988e+02,-2.730122055684798852e+03,-1.670741875400385197e+03
1.080196039207841494e+02,-2.743109259583878156e+03,-1.671137784292298647e+03
1.090016003200640142e+02,-2.756096463482957006e+03,-1.671533693184211870e+03
1.099835967193438648e+02,-2.769083667382035856e+03,-1.671929602076125093e+03
1.109655931186237154e+02,-2.782070871281114705e+03,-1.672325510968038316e+03
1.119475895179035803e+02,-2.795058075180194010e+03,-1.672721419859951766e+03
1.129295859171834309e+02,-2.808045279079272859e+03,-1.673117328751864989e+03
1.139115823164632957e+02,-2.821032482978351709e+03,-1.673513237643778211e+03
1.148935787157431463e+02,-2.834019686877430559e+03,-1.673909146535691661e+03
1.158755751150229969e+02,-2.839220938604990806e+03,-1.674065692063670667e+03
1.168575715143028617e+02,-2.842103330664076566e+03,-1.674150948937608518e+03
1.178395679135827123e+02,-2.844985722723162326e+03,-1.674236205811546370e+03
1.188215643128625629e+02,-2.847868114782248085e+03,-1.674321462685484221e+03
1.198035607121424277e+02,-2.850750506841334300e+03,-1.674406719559422072e+03
1.207855571114222784e+02,-2.853632898900420059e+03,-1.674491976433359696e+03
1.217675535107021290e+02,-2.856515290959505819e+03,-1.674577233307297547e+03
1.227495499099819938e+02,-2.859397683018591579e+03,-1.674662490181235398e+03
1.237315463092618444e+02,-2.868579949933658099e+03,-1.674932867657332281e+03
1.247135427085417092e+02,-2.887331647009708831e+03,-1.675484440984809908e+03
1.256955391078215598e+02,-2.906083344085759563e+03,-1.676036014312287307e+03
1.266775355071014104e+02,-2.924835041161809841e+03,-1.676587587639764934e+03
1.276595319063812752e+02,-2.943586738237860573e+03,-1.677139160967242560e+03
1.286415283056611258e+02,-2.962338435313910850e+03,-1.677690734294720187e+03
1.296235247049409907e+02,-2.981090132389961582e+03,-1.678242307622197814e+03
